PLAYER_POSITIONS,10969,4/13/2026 9:20:08 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.1)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_POSITIONS,11463,4/13/2026 9:20:09 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.1)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_POSITIONS,11463,4/13/2026 9:20:09 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.1)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_POSITIONS,11964,4/13/2026 9:20:09 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.0)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_GAZE,11965,4/13/2026 9:20:09 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,Civilian 2,,,,,,,,,"(6.3, 1.7, 2.2)",,,"(2.9, 0.0, 1.9)",
PLAYER_POSITIONS,11964,4/13/2026 9:20:09 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.0)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_GAZE,11965,4/13/2026 9:20:09 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,Civilian 2,,,,,,,,,"(6.3, 1.7, 2.2)",,,"(2.9, 0.0, 1.9)",
PLAYER_POSITIONS,12470,4/13/2026 9:20:10 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.0)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_POSITIONS,12470,4/13/2026 9:20:10 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.0)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
PLAYER_POSITIONS,12972,4/13/2026 9:20:10 AM,1bc1ff34-876b-4a9f-9b8f-f9979853d56b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9.0, 1.3, 4.0)","(9.2, 1.7, 4.1)","(9.0, 1.2, 4.1)",
