EventName,ElapsedTime,Timestamp,SessionID,Version,ButtonClickMessage,CurrentDurationEngaged,DragStartPosition,DragStopPosition,InjuryBodyRegion,InjuryName,InjuryPosition,InjuryRequiredProcedure,InjuryRequiredTreatmentCount,InjuryRequiredTreatmentsApplied,InjurySeverity,InjuryTreatedWithCorrectTreatment,InjuryTreatmentComplete,PatientBreathing,PatientHealthLevel,PatientHealthTimeRemaining,PatientHearing,PatientID,PatientMood,PatientPose,PatientPosition,PatientPulse,PatientRotation,PatientSpO2,PatientTriageLevel,PatientTriageSort,PlayerDirection,PlayerDistanceFromPatient,PlayerLeftHandPosition,PlayerPosition,PlayerRightHandPosition,TagType,TeleportPosition,ToolAttachMessage,ToolAttachParent,ToolCount,ToolMessageSender,ToolType,TotalDurationEngaged,TriageSortCommand,VoiceCaptureCommandDescription,VoiceCaptureMessage,
VOICE_CAPTURE,-33200,9/6/2025 1:22:51 PM,fd272957-0fe0-44ec-9d8d-aeddae9d9844,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Yes,
VOICE_CAPTURE,-17833,9/6/2025 1:23:06 PM,fd272957-0fe0-44ec-9d8d-aeddae9d9844,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,OK,
SESSION_START,4,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,
PATIENT_RECORD,4,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,collapsedLeft,100,Infinity,none,US Military 1,unresponsive,supine,"(1.7, 0.0, -16.0)",faint,"(0.0, -0.9, 0.0, -0.4)",low,EXPECTANT,still,
INJURY_RECORD,4,9/6/2025 1:23:24 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,chest,L Chest Collapse,"(0.0, 0.0, 0.0)",decompressionNeedle,1,0,high,False,False,,,,,US Military 1,
PLAYER_GAZE,2777,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,Attacker 2,,,,,,,,,"(-6.6, 1.5, 9.2)",,,"(2.5, 0.0, -13.4)",
PLAYER_POSITIONS,2777,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,2777,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,Attacker 2,,,,,,,,,"(-6.6, 1.5, 9.2)",,,"(2.5, 0.0, -13.4)",
PLAYER_POSITIONS,3287,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,3287,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,3287,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,3287,9/6/2025 1:23:27 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,3794,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,3794,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,3794,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,3794,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,4294,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,4294,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,4294,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,4294,9/6/2025 1:23:28 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,4803,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,4803,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,4803,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,4803,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,US Military 2,,,,,,,,,"(-5.5, 1.5, 7.5)",,,"(1.5, 0.0, -11.7)",
PLAYER_POSITIONS,5308,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,5308,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,Attacker 2,,,,,,,,,"(-6.6, 1.5, 9.2)",,,"(2.5, 0.0, -13.4)",
PLAYER_POSITIONS,5308,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
PLAYER_GAZE,5308,9/6/2025 1:23:29 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,Attacker 2,,,,,,,,,"(-6.6, 1.5, 9.2)",,,"(2.5, 0.0, -13.4)",
PLAYER_POSITIONS,5810,9/6/2025 1:23:30 PM,f79bfa85-a534-4ec2-a80a-1e42525b3d54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(-3.9, 0.7, -4.3)","(-4.0, 1.5, -4.2)","(-4.1, 0.7, -4.4)",
