PLAYER_POSITIONS,30472,9/18/2024 2:46:46 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 1.6, -8.8)","(0.9, 1.6, -8.9)","(1.1, 1.7, -8.9)",
PLAYER_POSITIONS,30983,9/18/2024 2:46:46 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.6, 1.0, -8.8)","(0.9, 1.6, -8.9)","(1.2, 1.0, -8.7)",
PLAYER_POSITIONS,30983,9/18/2024 2:46:46 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.6, 1.0, -8.8)","(0.9, 1.6, -8.9)","(1.2, 1.0, -8.7)",
PLAYER_POSITIONS,31487,9/18/2024 2:46:47 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -8.9)","(0.9, 1.6, -8.9)","(1.2, 0.8, -8.9)",
PLAYER_POSITIONS,31487,9/18/2024 2:46:47 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -8.9)","(0.9, 1.6, -8.9)","(1.2, 0.8, -8.9)",
PLAYER_POSITIONS,31993,9/18/2024 2:46:47 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.8, 0.9, -8.8)","(0.9, 1.7, -8.9)","(1.1, 0.9, -8.7)",
PLAYER_POSITIONS,31993,9/18/2024 2:46:47 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.8, 0.9, -8.8)","(0.9, 1.7, -8.9)","(1.1, 0.9, -8.7)",
PLAYER_POSITIONS,32499,9/18/2024 2:46:48 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.6, 0.8, -9.0)","(0.9, 1.7, -8.9)","(1.3, 0.8, -9.0)",
PLAYER_POSITIONS,32499,9/18/2024 2:46:48 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.6, 0.8, -9.0)","(0.9, 1.7, -8.9)","(1.3, 0.8, -9.0)",
PLAYER_POSITIONS,33023,9/18/2024 2:46:48 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.8, 0.9, -8.8)","(1.0, 1.7, -8.9)","(1.1, 0.9, -8.7)",
PLAYER_POSITIONS,33023,9/18/2024 2:46:48 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.8, 0.9, -8.8)","(1.0, 1.7, -8.9)","(1.1, 0.9, -8.7)",
PLAYER_POSITIONS,33542,9/18/2024 2:46:49 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.9)",
PLAYER_POSITIONS,33542,9/18/2024 2:46:49 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.9)",
PLAYER_POSITIONS,34052,9/18/2024 2:46:49 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.8, 0.9, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.8)",
PLAYER_POSITIONS,34052,9/18/2024 2:46:49 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.8, 0.9, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.8)",
PLAYER_POSITIONS,34553,9/18/2024 2:46:50 PM,62832530-cd2a-45d9-af3a-4664d3b955d0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(0.7, 0.8, -8.9)","(0.9, 1.7, -8.9)","(1.2, 0.8, -8.8)",
